feature,importance
close_min_50,9.423364441429426
bb_upper_30,7.078339094893543
bb_middle_30,5.551737628123263
close_min_20,5.396575341218953
bb_upper_20,3.7518007059404823
bb_middle_10,3.4863390256507043
vwap_sma_20,2.6851945521408966
bb_lower_30,2.6544157638347468
close_min_10,2.310132730455477
bb_upper_10,1.958376976874337
close_mean_50,1.8062362315786042
ema_5,1.7223965803919918
bb_middle_20,1.7049632031770907
ema_20,1.6727678410384608
close_min_5,1.6518511916885472
vwap_sma_10,1.6281787341821878
open_lag_2,1.488231946900792
high_lag_1,1.4245005146371346
sma_5,1.3962392226788423
low_lag_3,1.3927413190337616
wma_30,1.374535039967576
close_median_20,1.3107724041682534
vwap,1.3060813868677497
ema_10,1.2983611073029804
close_median_10,1.2969262965560138
open_lag_1,1.232275030258784
open,1.23193265469479
close_lag_15,1.2308453826424592
low,1.2113695929387074
high_lag_5,1.200063850663855
wma_5,1.1565959987973173
close_mean_10,1.103645760852048
high,1.0709051179741444
close_lag_1,1.0132377849701784
open_lag_5,0.9844348236096115
close_max_20,0.9817741465358828
sma_100,0.9257391380724209
wma_20,0.9088631372851139
close_lag_2,0.9074735877724511
close_mean_20,0.8286139248398452
low_lag_50,0.8176178441690453
low_lag_30,0.8155401515990345
high_lag_2,0.7443171407246859
close_lag_3,0.7290888210732214
close_max_5,0.7243946328255478
sma_15,0.6908489205413708
close,0.6586200868705759
close_max_10,0.6379567565571784
wma_10,0.6171910482076375
high_lag_15,0.60254344988405
close_median_50,0.5978168433098949
close_lag_50,0.5871601449442709
wma_200,0.5639743904171617
ema_50,0.5637184137770679
open_lag_50,0.5085308347367765
close_median_5,0.5049209917367898
close_max_50,0.4716028595659856
sma_20,0.4573229891145405
bb_lower_20,0.44834666535005485
wma_15,0.4324739076170566
low_lag_2,0.4270359542228446
close_mean_5,0.40530104332344524
bb_lower_10,0.35972987365159054
open_lag_20,0.3549871123699916
low_lag_5,0.3043743848107269
sma_10,0.2748780302221656
ema_15,0.27212005689051505
open_lag_10,0.2580069631541066
high_lag_30,0.2446723915612787
ema_200,0.23995946172539265
ema_30,0.23628281803976886
wma_100,0.2216849931755279
high_lag_20,0.17473686298618457
high_lag_3,0.1585832103464966
wma_50,0.137774630163153
high_lag_10,0.1298263152915215
close_lag_30,0.12386406964532735
low_lag_15,0.10508585738071825
low_lag_1,0.09853904880252286
open_lag_3,0.09653289506800047
open_lag_30,0.09531624964775745
close_lag_5,0.09119487568312641
sma_30,0.0579065294632409
low_lag_20,0.03224592950398163
close_lag_10,0.026751571604816612
open_lag_15,0.012010871624635235
momentum_20,0.008107936678228378
momentum_10,0.007990968088017561
close_lag_20,0.007456655709143196
bb_position_20,0.00601024367093321
roc_10,0.005212595839992834
momentum_5,0.005032326863078938
obv_sma_10,0.004810141127061744
roc_20,0.004390968992471893
obv_sma_20,0.004285682279431956
low_lag_10,0.003827369860064075
momentum_30,0.0034310992768958543
obv,0.0034226548870800655
bb_position_30,0.003345499195397517
bb_position_10,0.002922008405291298
bb_width_10,0.0027118473197053333
roc_5,0.002531613029134984
roc_30,0.0024406417432906976
cci_20,0.002397470551448825
cci_30,0.0023962878814894426
macd,0.0022112167050581427
stoch_k_5,0.002076881464874478
volume,0.001884055225590035
day_cos,0.0015762192047740224
williams_r_20,0.0015651438687033885
price_change,0.0015558516053980958
std_5,0.0014260700552425317
ema_100,0.0014056143697947683
var_5,0.0013894642151728765
sma_200,0.0012560743696196472
stoch_k_20,0.0011759620348616676
trades,0.0010883984866645257
macd_signal,0.0010875631134954823
day_sin,0.0010841307029445856
atr_50,0.0010337005758835564
bb_width_20,0.0009599015231405388
month,0.0009486366479032444
returns_lag_1,0.000914819709314953
std_50,0.000801159888224717
volume_sma_50,0.000759560550823054
close_skew_50,0.0007122060652123436
day_of_month,0.0006891849610387333
var_50,0.0006518407918935243
std_20,0.0006147061351338383
day_of_week,0.0005533304624568209
price_range,0.0005482846691508527
quarter,0.0005101671320622383
vwap_diff,0.0004939233036274556
hour_sin,0.00047333442622578893
month_sin,0.0004704075324772233
hour_cos,0.00046313493894754865
returns_lag_2,0.00045373020613207523
volume_ema_10,0.0004369147443578155
high_low,0.0003994198781885939
high_lag_50,0.0003879716257578159
returns,0.00037473619755555636
bb_width_30,0.00037452481237424653
atr_30,0.00034495991659189596
std_30,0.00031324074339047906
month_cos,0.000299251896973815
rsi_14,0.0002988104684893045
returns_lag_5,0.0002978092418258444
atr_5,0.00028973788048008146
returns_lag_10,0.0002818242713348744
returns_lag_3,0.00027797365922433207
returns_lag_20,0.00027372906519485674
atr_20,0.0002555059708886417
volume_std_20,0.00025209177814906127
sma_50,0.0002467406331719785
std_10,0.00023807740841910063
var_10,0.0002222418581191841
turnover,0.00021937641040418258
week_of_year,0.00021234554480852616
close_kurt_20,0.00020689991013401104
low_close,0.0001996967684817996
close_kurt_50,0.00019004288127556586
macd_diff,0.0001861304553649131
atr_10,0.00017755112595997617
volume_std_10,0.00016526694064763244
rsi_30,0.0001644627043345664
close_skew_10,0.00015626520702204943
hour,0.00015238026888205229
close_skew_20,0.00014953629572045593
macd_histogram,0.00014888119499565584
stoch_k_14,0.00014322448383213135
bb_std_20,0.000139833791690401
stoch_d_20,0.00013164658057676583
high_close,0.00012831558892294336
log_returns,0.00012797242245099906
volume_sma_5,0.00012420090530747583
mfi_14,0.00011797650626025358
mfi_20,0.00011553352045346524
trades_lag_3,0.00011551917879091579
cci_10,0.00011291590738012057
stoch_d_14,0.00010839899716510021
bb_std_30,0.00010774416727426587
williams_r_10,0.00010694329442422875
close_open,0.00010489777709298441
trades_lag_1,0.00010195582736871459
trades_lag_20,0.00010075194444222066
close_kurt_10,9.725290932733153e-05
volume_ratio_5,9.580681212836422e-05
var_20,9.163623458156297e-05
close_kurt_5,9.026605684703673e-05
volume_sma_20,8.812938499746309e-05
rsi_20,8.623967622068176e-05
stoch_d_5,8.496415085167423e-05
mfi_10,8.389452075668168e-05
rsi_10,8.187245092540821e-05
volume_ema_20,8.131983179844752e-05
rsi_5,8.131212526379724e-05
volume_ratio_20,8.060933852060264e-05
var_30,7.660932588339745e-05
vwap_ratio,7.28148038087251e-05
stoch_d_10,7.217249912202991e-05
trades_lag_2,6.734248047949002e-05
is_month_start,6.694826369095951e-05
volume_lag_5,6.216875565318962e-05
volume_ratio_10,5.959426103792328e-05
close_skew_5,5.949602138058987e-05
volume_lag_3,5.910161383232048e-05
bb_std_10,5.449380578439286e-05
trades_lag_5,5.3725609341539545e-05
williams_r_14,5.371052938665453e-05
volume_lag_1,5.2197266756124136e-05
volume_lag_10,4.9137654728909036e-05
volume_lag_2,4.5474389711192786e-05
trades_lag_10,4.2643980444342885e-05
volume_sma_10,4.167385449221167e-05
volume_lag_20,3.848036817340876e-05
stoch_k_10,2.9175775968552937e-05
is_weekend,1.9300389900887304e-05
is_month_end,1.1547869502937805e-05
is_quarter_end,9.865976587485294e-06
is_quarter_start,0.0
